prompt_idx,seed,query_key,correct_answer,hit,correct_logprob,margin
1,100,config_beta_0001,violet-vellum-849,0,-15.0160,-5.3972
2,101,config_beta_0001,magenta-zephyr-149,0,-12.5717,-0.7231
3,102,config_delta_0003,jade-engine-539,0,-15.4161,-2.5114
4,103,config_beta_0001,emerald-engine-856,1,-10.0683,0.0000
5,104,config_delta_0003,crimson-marble-207,0,-18.2612,-3.4029
6,105,config_gamma_0002,ruby-delta-442,0,-16.1666,-1.7533
7,106,config_gamma_0002,ivory-beacon-292,1,-13.8591,0.0000
8,107,config_beta_0001,obsidian-anchor-881,0,-13.1229,-0.0336
9,108,config_beta_0001,navy-quiver-487,1,-12.4940,0.0000
10,109,config_delta_0003,quartz-rampart-676,0,-19.0808,-3.0796
